Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,20,UTA,NBA,SF,72,17,16.9,2.0,4.1,.485,0.5,1.0,.473,1.5,3.0,.489,.544,1.0,1.3,.711,0.6,1.4,1.9,1.1,0.4,0.3,1.0,1.5,5.4
2011-12,21,UTA,NBA,SF,66,58,30.5,4.0,8.9,.456,0.8,2.4,.346,3.2,6.5,.496,.503,2.9,3.5,.832,0.9,2.6,3.5,3.1,0.8,0.6,1.7,1.6,11.8
2012-13,22,UTA,NBA,SF,72,27,29.2,4.7,10.7,.435,1.4,3.4,.415,3.3,7.3,.444,.501,3.4,4.1,.827,0.7,2.4,3.1,3.0,0.8,0.5,1.7,1.7,14.1
2013-14,23,UTA,NBA,SF,77,77,36.4,5.5,13.4,.413,1.1,3.6,.304,4.4,9.8,.453,.454,4.0,4.9,.816,0.8,4.3,5.1,5.2,1.4,0.5,2.8,2.0,16.2
2014-15,24,UTA,NBA,SF,76,76,34.4,6.4,14.3,.445,1.6,4.3,.364,4.8,10.0,.481,.500,4.9,6.1,.812,0.7,4.2,4.9,4.1,1.4,0.4,2.7,1.7,19.3
2015-16,25,UTA,NBA,SF,80,80,36.2,6.5,15.0,.433,1.8,5.1,.349,4.7,9.9,.477,.493,4.9,6.0,.824,0.8,4.2,5.0,3.7,1.2,0.3,2.5,2.3,19.7
2016-17,26,UTA,NBA,SF,73,73,34.5,7.5,15.8,.471,2.0,5.1,.398,5.4,10.7,.506,.536,5.0,5.9,.844,0.7,4.7,5.4,3.5,1.0,0.3,1.9,1.6,21.9
2017-18,27,BOS,NBA,SF,1,1,5.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
2018-19,28,BOS,NBA,PF,72,18,25.9,4.1,8.8,.466,1.1,3.2,.333,3.0,5.6,.542,.527,2.2,2.6,.834,0.7,3.8,4.5,3.4,0.9,0.3,1.5,1.4,11.5
2019-20,29,BOS,NBA,SF,52,52,33.5,6.7,13.5,.500,1.6,4.3,.383,5.1,9.2,.554,.561,2.4,2.8,.855,1.1,5.6,6.7,4.1,0.7,0.4,1.8,1.8,17.5
2020-21,30,CHO,NBA,SF,44,44,34.0,7.1,15.0,.473,1.9,4.7,.415,5.1,10.3,.499,.537,3.5,4.2,.843,0.8,5.0,5.9,4.1,1.2,0.3,2.1,1.7,19.6
2021-22,31,CHO,NBA,SF,49,48,31.9,5.8,12.6,.459,1.8,4.5,.391,4.0,8.1,.496,.528,2.6,3.0,.846,0.8,3.8,4.6,3.6,1.0,0.4,1.7,1.7,15.9
2022-23,32,CHO,NBA,SF,13,13,32.2,5.6,12.8,.440,1.5,3.8,.380,4.2,8.9,.466,.497,2.9,3.9,.745,0.8,3.8,4.6,4.4,0.7,0.3,2.5,1.2,15.6
